-78.41753953	-42.02021997	-32.77709699	-22.9301288	-18.74170873	-16.43406553	-15.09265071
-110.1952955	-59.51545382	-46.52935598	-32.04864886	-26.42855781	-23.37776486	-21.24787328
-132.87548	-72.71066931	-56.81396175	-38.8302983	-32.27596367	-28.65165456	-25.92132361
-149.8120582	-83.70322159	-65.35680807	-44.47407368	-37.18422408	-33.05834717	-29.83608832
-162.5429893	-93.2903848	-72.81004978	-49.42579891	-41.49633955	-36.9135775	-33.26987518
-172.1229584	-101.86074	-79.5003749	-53.90254452	-45.38738712	-40.38083704	-36.36471627
-179.3336975	-109.6280613	-85.61697753	-58.02703132	-48.96117027	-43.55722761	-39.20460373
-184.7619426	-116.721451	-91.27904725	-61.87607389	-52.28502538	-46.50565591	-41.8439483
-188.8486962	-123.2268432	-96.56589414	-65.50143181	-55.40556103	-49.26935658	-44.32031379
-191.9259351	-129.2067705	-101.5322607	-68.93994531	-58.35650767	-51.87949789	-46.66089465
-156.2483128	-96.69328461	-68.18771402	-34.19541245	-23.13795697	-16.32912927	-10.85975541
-119.9986246	-63.74522485	-34.59090942	0.687791973	12.20529763	19.33356915	25.04098361
-83.31810474	-30.39860285	-0.764023092	35.69339056	47.65778714	55.09444246	61.02884916
-46.31336361	3.314261694	33.27530489	70.80830181	83.20703719	90.94209809	97.09372992
-9.064358966	37.36425984	67.51256539	106.0220484	118.8428617	126.8671717	133.2273997
28.36852266	71.72471519	101.9354328	141.3259402	154.5567338	162.8618826	169.4229315
65.93991087	106.3712286	136.5332437	176.7129485	190.3415368	198.9197083	205.6745886
103.615659	141.2813443	171.2963484	212.1769003	226.1912127	235.0350493	241.9773687
141.3701382	176.4344339	206.2160858	247.712956	262.1006233	271.2031458	278.327029
179.1837714	211.8114808	241.2845378	283.3167544	298.0653195	307.4198665	314.7199008
